Date/Time,Name,Message
"12/06/2022, 2:36 pm",Shosho,helwa
"12/06/2022, 3:18 pm",Yassin,عملت ايع
"12/06/2022, 3:32 pm",Shosho,kam embareh ya maw
"12/06/2022, 3:32 pm",Shosho,ana sabt etnen arba3
"12/06/2022, 3:32 pm",Shosho,w sabt etnen arba3 sabt
"12/06/2022, 3:32 pm",Shosho,w finito
"12/06/2022, 3:32 pm",Shosho,bas 3adet Elhamdulellah
"12/06/2022, 3:32 pm",Yassin,افتكرتك حد
"12/06/2022, 3:33 pm",Yassin,الحمدالله❤️
"12/06/2022, 3:33 pm",Shosho,w tele3t wahda wala eh
"12/06/2022, 3:33 pm",Shosho,<Media omitted>
"12/06/2022, 3:33 pm",Yassin,😸
"12/06/2022, 3:33 pm",Yassin,@201124570808 عملت ايه
"12/06/2022, 3:33 pm",Shosho,da baa el had w talat w khamis
"12/06/2022, 3:33 pm",Shosho,penpadel
"12/06/2022, 3:34 pm",Yassin,ده اوسخ حاجه
"12/06/2022, 3:34 pm",Yassin,تمتحن ٣
"12/06/2022, 3:34 pm",Yassin,٢ شغال
"12/06/2022, 3:35 pm",Yassin,في الاسبوع
"12/06/2022, 3:35 pm",Bobos,Ana habd2 el term el talet abl ma sa3id ye5alas 🥴🥴
"12/06/2022, 3:35 pm",Yassin,<Media omitted>
"12/06/2022, 3:35 pm",Yassin,😸
"12/06/2022, 3:40 pm",Yassin,<Media omitted>
"12/06/2022, 3:40 pm",rozblabann,Ha2ak moot
"12/06/2022, 3:40 pm",rozblabann,Da el 3adyy
"12/06/2022, 3:41 pm",Yassin,لا العادي ٢ في الاسبوع
"12/06/2022, 3:41 pm",rozblabann,Ana 3andy emthaneen fe youmin
"12/06/2022, 3:41 pm",rozblabann,Next week
"12/06/2022, 3:41 pm",Yassin,حد و اربع
"12/06/2022, 3:41 pm",rozblabann,Laa ba2ollak brl nesbalna
"12/06/2022, 3:41 pm",rozblabann,Et3awedna
"12/06/2022, 3:41 pm",Yassin,كسم الاكادميه يصحبس
"12/06/2022, 3:41 pm",Yassin,ي
"12/06/2022, 3:41 pm",rozblabann,Elhamdulah ya sinaaa
"12/06/2022, 3:41 pm",rozblabann,Ghelet fe etnin choose
"12/06/2022, 3:41 pm",Yassin,كان عندك ايه
"12/06/2022, 3:41 pm",rozblabann,Bas overall helww elhamdulah
"12/06/2022, 3:41 pm",rozblabann,Ana radyy
"12/06/2022, 3:42 pm",rozblabann,Sw requirements
"12/06/2022, 3:42 pm",Yassin,Waterfall😜😹✋🏼
"12/06/2022, 3:42 pm",Yassin,Use case diagram🙆🏾‍♂️
"12/06/2022, 3:42 pm",rozblabann,True
"12/06/2022, 3:42 pm",rozblabann,Not true
"12/06/2022, 3:44 pm",Yassin,A7a
"12/06/2022, 3:45 pm",Yassin,Waterfall
"12/06/2022, 3:45 pm",Yassin,Mawgoda
"12/06/2022, 3:47 pm",rozblabann,Laa
"12/06/2022, 3:47 pm",rozblabann,Fe intro to sw engineering aah
"12/06/2022, 3:50 pm",Yassin,😹✋🏼
"12/06/2022, 3:50 pm",Shosho,😂😂😂😂😂
"12/06/2022, 3:51 pm",Yassin,Ana ba5ud software engineering bs
"12/06/2022, 3:51 pm",Shosho,<Media omitted>
"12/06/2022, 3:51 pm",Shosho,yabny enta hatkaren nafsak maa betoo3 el AATMT
"12/06/2022, 3:51 pm",Shosho,5555555
"12/06/2022, 3:51 pm",Shosho,fooo2 yaaad
"12/06/2022, 3:51 pm",Shosho,ketfom ein shams
"12/06/2022, 3:51 pm",rozblabann,<Media omitted>
"12/06/2022, 3:51 pm",Yassin,Al mada dih asmha yaban anha abdn haga fa cs
"12/06/2022, 3:51 pm",rozblabann,<Media omitted>
"12/06/2022, 3:51 pm",Yassin,Wa hia ghariba msh lay2a 3la asmha
"12/06/2022, 3:52 pm",rozblabann,Ana bahebak yala
"12/06/2022, 3:52 pm",Shosho,🤣🤣🤣🤣🤣
"12/06/2022, 3:52 pm",Shosho,<Media omitted>
"12/06/2022, 3:52 pm",Yassin,😸✋🏼😜 alp7po
"12/06/2022, 3:52 pm",Yassin,مش هنضرب واحدapoanas
"12/06/2022, 3:52 pm",Shosho,<Media omitted>
"12/06/2022, 3:52 pm",Shosho,😜🫵🏽😋
"12/06/2022, 3:52 pm",Yassin,💀
"12/06/2022, 3:53 pm",Yassin,😂😂😂😂😂😂
"12/06/2022, 3:53 pm",Yassin,التريو🥰 عقبال ما بوبو يفوق
"12/06/2022, 3:57 pm",Yassin,<Media omitted>
"12/06/2022, 3:57 pm",Yassin,Al mada sahla asasn bs malyana tafasil wa btgib kol sana amt7an sahl wa zay al fat
"12/06/2022, 3:57 pm",Yassin,Gat 3alina kosm al creative
"12/06/2022, 3:58 pm",rozblabann,Nefsyyy
"12/06/2022, 3:59 pm",Shosho,الساحل السنادي عندي يا رجالة بعد ما كلنا نخلص امتحانات و نظبط المواعيد مع بعض بالذات قبل ما بوبوس و تيحا يبداو الترم التالت هتكون في حدود ٢٥/٦ تقريبا و بوبوس صححني لو انا غلط
"12/06/2022, 3:59 pm",Yassin,هو حد ملاحظ ان الدنيا غليت ف كل حته
"12/06/2022, 3:59 pm",Shosho,رد يكتفها
"12/06/2022, 3:59 pm",Yassin,انا برضوا هخلص ٢٧ ف ٢٥ هيبقى صعب
"12/06/2022, 4:00 pm",Yassin,كنت بكتب قبل متبعت يحلوه
"12/06/2022, 4:00 pm",Shosho,و هقول للناس كلها طبعا العايز ييجي ينور بس لما نحدد ميعاد علينا احنا الاول
"12/06/2022, 4:00 pm",Bobos,هو انتوا هتخلصوا امتى ؟
"12/06/2022, 4:00 pm",Shosho,انا ٢٢ و شومان ٢٣
"12/06/2022, 4:00 pm",Bobos,طب ما شومان يخلص و نطلع
"12/06/2022, 4:00 pm",Shosho,و يس ٢٧ بس مش مهم يس
"12/06/2022, 4:00 pm",Yassin,😜
"12/06/2022, 4:01 pm",Bobos,<Media omitted>
"12/06/2022, 4:01 pm",Bobos,<Media omitted>
"12/06/2022, 4:01 pm",Shosho,ماشي
"12/06/2022, 4:01 pm",Shosho,انت هتبدا امتى
"12/06/2022, 4:01 pm",Yassin,ممكن فعلا روحوا ٢٥ و اجلكم انا ٢٧ بعد مخلص الامتحان
"12/06/2022, 4:02 pm",rozblabann,OXEMBELLAH OXEMBELLAH OLTELOO KEDA YA POPO
"12/06/2022, 4:02 pm",Shosho,ممكن برضو
"12/06/2022, 4:02 pm",rozblabann,W da hall
"12/06/2022, 4:02 pm",Shosho,هو سعيد هيبقى مجرى الحوار عشان هو لو جاي لازم كلنا نستناه عشان نطلع معاه
"12/06/2022, 4:02 pm",Shosho,@201004614185
"12/06/2022, 4:02 pm",Bobos,La 5las nestana men3em
"12/06/2022, 4:02 pm",Bobos,Ana innn
"12/06/2022, 4:03 pm",Yassin,يريت نطلع ايوه في الايام ديه عشان الكورس بتاعي هيبتدي تاني اول ٧
"12/06/2022, 4:03 pm",Shosho,كتفمين ام احمد سعد
"12/06/2022, 4:03 pm",Shosho,😹😹😹😹👍🏽👍🏽👍🏽👍🏽
"12/06/2022, 4:04 pm",Shosho,القورس🫵🏽😹
"12/06/2022, 4:04 pm",Yassin,و هقدم على internships ان شاء الله
"12/06/2022, 4:04 pm",Shosho,😋😋😋😋❤️❤️❤️❤️❤️❤️
"12/06/2022, 4:04 pm",Yassin,🥰✋🏼✋🏼
"12/06/2022, 4:06 pm",rozblabann,Wana kman insha’Allah
"12/06/2022, 4:06 pm",rozblabann,Yassiinn eb3atly
"12/06/2022, 4:07 pm",rozblabann,Links el ta2deem
"12/06/2022, 4:07 pm",rozblabann,Private
"12/06/2022, 4:07 pm",rozblabann,Ay haga hat2adem feha
"12/06/2022, 4:07 pm",rozblabann,Send
"12/06/2022, 4:07 pm",Shosho,+1
"12/06/2022, 4:07 pm",Shosho,ana awel sana ab2a bash7at interns keda mel nas
"12/06/2022, 4:07 pm",Shosho,nefsi awiiiiii
"12/06/2022, 4:08 pm",Yassin,كان عندي post مليان links هدور عليه
"12/06/2022, 4:09 pm",rozblabann,Deal
"12/06/2022, 4:09 pm",Yassin,Wanta law la2iet ab3tly
